@attribute tituloNumerico real,@attribute descripcionNumerico real,@attribute keywordsNumerico real,@attribute totalPalabras real,@attribute numeroLinksTotales real,@attribute numeroLinksEnDiccionario real,@attribute h1EnDiccionario real,@attribute numeroImagenesTotales real,@attribute numeroImagenesConAltEnDicciona real,@attribute tituloNumericoEnlaces real,@attribute keywordsNumericoEnlaces real
1,0,0,406,37,5,1,11,0,0.00,0.00
2,5,2,225,118,7,0,19,3,0.00,0.00
1,1,2,256,539,76,0,18,1,0.00,0.00
0,0,0,48,89,8,0,131,1,0.00,0.00
0,0,0,353,10,1,0,14,0,0.00,0.00
1,0,1,689,122,8,1,6,3,0.00,0.00
1,0,0,804,239,16,1,67,20,0.00,0.00
0,2,0,236,249,9,0,4,0,0.00,0.00
1,1,4,1148,101,27,0,87,4,0.00,0.00
0,0,0,1,0,0,0,0,0,0.00,0.00
2,0,0,140,44,13,1,15,1,0.00,0.00
0,0,0,3874,627,47,0,0,0,0.00,0.00
0,0,0,445,335,42,0,55,3,0.00,0.00
1,1,0,108,39,3,0,7,0,0.00,0.00
2,4,1,0,10,0,0,0,0,0.00,0.00
4,5,4,89,61,4,0,33,2,0.00,0.00
